id,name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,nationality,tags,restaurant_name
231,Patchi Dark Square,"lunch,dinner",56,0.7,4.4,4.1,0.9,3.2,0,Lebanese,brand=Patchi;flavor=Dark chocolate;size=10g;local;premium;dark,
232,Ferrero Rocher (3 pieces),"lunch,dinner",227,3.1,16.5,16.4,1.8,15.4,21,Lebanese,brand=Ferrero;flavor=Hazelnut;size=37g;imported;contains_nuts,
233,Gandour Unica,"lunch,dinner",160,2,16,9,0.6,10,55,Lebanese,brand=Gandour;flavor=Chocolate-coated wafer;size=30g;local,
234,"Loacker Quadratini (Hazelnut, 8 pcs)","lunch,dinner",200,3.3,24,10,0.9,10,45,Lebanese,brand=Loacker;flavor=Hazelnut;size=37g;imported;contains_nuts,
235,Nestlé KitKat Chunky,"lunch,dinner",207,3.5,26,10.5,0.7,21,36,Lebanese,brand=Nestlé;flavor=Wafer chocolate;size=40g;imported,
236,Master Chips Classic Salt,"lunch,dinner",240,3,24,15,3,0.5,300,Lebanese,brand=Master;flavor=Salted;size=45g;local;fried;gluten_free,
237,Master Chips Ketchup,"lunch,dinner",230,3,23,14,3,2,320,Lebanese,brand=Master;flavor=Ketchup;size=45g;local;fried,
238,Master Kettle Cooked Sea Salt,"lunch,dinner",210,3.2,21,13,2.5,0.8,260,Lebanese,brand=Master;flavor=Kettle cooked;size=40g;local;kettle;gluten_free,
239,Pringles Original (small can),"lunch,dinner",210,2,21,13,1.2,0.3,250,Lebanese,brand=Pringles;flavor=Original;size=40g;imported;stackable,
240,Doritos Nacho Cheese,"lunch,dinner",200,3.3,21,12,1.5,1.1,300,Lebanese,brand=Doritos;flavor=Cheese;size=40g;imported;cheese,
241,Cheetos Crunchy,"lunch,dinner",200,2.5,15,12,1,1,320,Lebanese,brand=Cheetos;flavor=Cheese;size=35g;imported;cheese,
242,Quest Protein Bar Chocolate Chip Cookie Dough,"lunch,dinner",200,21,23,8,14,1,220,Lebanese,brand=Quest;flavor=Cookie Dough;size=60g;high_protein;imported,
243,Grenade Carb Killa Chocolate Salted Caramel,"lunch,dinner",217,20,16,9,6.6,1.5,240,Lebanese,brand=Grenade;flavor=Salted Caramel;size=60g;high_protein;imported,
244,Clif Builder's Protein Bar Chocolate,"lunch,dinner",280,20,29,9,3,20,210,Lebanese,brand=Clif;flavor=Chocolate;size=68g;high_protein;imported,
245,Banana (medium),"lunch,dinner",105,1.3,27,0.3,3.1,14.4,1,Lebanese,brand=Fresh;flavor=Banana;size=118g;fresh;affordable,
246,Apple (medium),"lunch,dinner",95,0.5,25,0.3,4.4,19,2,Lebanese,brand=Fresh;flavor=Apple;size=182g;fresh,
247,Dates (4 pieces),"lunch,dinner",80,0.6,22,0,2,19,1,Lebanese,brand=Dried;flavor=Deglet Nour;size=28g;dried,
248,Dried Apricots (6 halves),"lunch,dinner",84,1,22,0,2.7,17,2,Lebanese,brand=Dried;flavor=Apricot;size=35g;dried,
249,Raisin Pack (small),"lunch,dinner",90,1,24,0,1.2,18,5,Lebanese,brand=Dried;flavor=Raisins;size=30g;dried,
250,Poppins Cereal Bar Chocolate,"lunch,dinner",110,2,18,3.5,1.5,6,90,Lebanese,brand=Poppins;flavor=Chocolate;size=25g;local,
251,Poppins Cereal Bar Strawberry,"lunch,dinner",105,1.8,18,3.2,1.6,6,85,Lebanese,brand=Poppins;flavor=Strawberry;size=25g;local;fruit,
252,Nestlé Fitness Cereal Bar,"lunch,dinner",90,1.2,17,2.1,1.5,6,60,Lebanese,brand=Nestlé;flavor=Whole grain;size=23g;imported;whole_grain,
253,Nature Valley Crunchy Oats & Honey (2 bars),"lunch,dinner",190,4,29,7,3,11,150,Lebanese,brand=Nature Valley;flavor=Oats & Honey;size=42g;imported;whole_grain,
254,Gandour Safari Biscuit,"lunch,dinner",134,2,20,5,0.8,6,90,Lebanese,brand=Gandour;flavor=Plain;size=30g;local,
255,Gandour Glucose Biscuit Pack,"lunch,dinner",125,2.1,22,3.6,0.6,7,70,Lebanese,brand=Gandour;flavor=Glucose;size=30g;local,
256,McVitie's Digestive (2 biscuits),"lunch,dinner",140,2,18,6,2,5,180,Lebanese,brand=McVitie's;flavor=Digestive;size=28g;imported;whole_grain,
257,LU Prince Chocolate (2 biscuits),"lunch,dinner",190,3,29,7,1.2,13,160,Lebanese,brand=LU;flavor=Chocolate filled;size=37g;imported,
258,7DAYS Croissant Chocolate,"lunch,dinner",270,5,33,13,2,12,260,Lebanese,brand=7DAYS;flavor=Chocolate filling;size=60g;imported,
259,7DAYS Croissant Cocoa & Vanilla,"lunch,dinner",265,5,32,13,2,11,250,Lebanese,brand=7DAYS;flavor=Cocoa & Vanilla;size=60g;imported,
260,Chipicao Croissant,"lunch,dinner",270,5,34,12,2,12,250,Lebanese,brand=Chipicao;flavor=Chocolate;size=60g;imported,
261,"Pain au Chocolat (bakery, small)","lunch,dinner",230,4.5,26,12,1.5,8,210,Lebanese,brand=Bakery;flavor=Chocolate;size=55g;fresh_bakery,
262,Master Sticks (Salt),"lunch,dinner",230,3,23,14,2.5,0.7,300,Lebanese,brand=Master;flavor=Potato sticks;size=45g;local,
263,Master Chips Chili,"lunch,dinner",235,3,23,14,2.8,1,320,Lebanese,brand=Master;flavor=Chili;size=45g;local;spicy,
264,Pringles Sour Cream & Onion (small),"lunch,dinner",210,2,21,13,1.2,1,260,Lebanese,brand=Pringles;flavor=Sour Cream & Onion;size=40g;imported;dairy,
265,Doritos Sweet Chili Pepper,"lunch,dinner",198,3.3,20,12,1.5,1,300,Lebanese,brand=Doritos;flavor=Sweet Chili;size=40g;imported;spicy,
266,Ulker Halley,"lunch,dinner",140,2,21,5,0.5,12,75,Lebanese,brand=Ülker;flavor=Marshmallow biscuit;size=30g;imported,
267,Ulker Tea Biscuits (4 pcs),"lunch,dinner",124,2.2,20,3.6,0.6,5,90,Lebanese,brand=Ülker;flavor=Plain;size=28g;imported,
268,Loacker Gardena Fingers,"lunch,dinner",210,3,19,13,1.2,12,50,Lebanese,brand=Loacker;flavor=Hazelnut;size=38g;imported;contains_nuts,
269,Poppins Protein Crunch Bar,"lunch,dinner",180,12,18,6,4,5,160,Lebanese,brand=Poppins;flavor=Chocolate;size=40g;local;high_protein,
270,"Nestlé Yes! Nut Bar (Almond, Peanut, Dark Choc)","lunch,dinner",180,6,17,11,4,12,60,Lebanese,brand=Nestlé;flavor=Nut & dark chocolate;size=35g;imported;contains_nuts,
271,Nature Valley Protein Peanut & Chocolate,"lunch,dinner",190,10,15,12,5,6,150,Lebanese,brand=Nature Valley;flavor=Peanut & Choc;size=40g;imported;contains_nuts;high_protein,
272,Orange (medium),"lunch,dinner",62,1.2,15.4,0.2,3.1,12.2,0,Lebanese,brand=Fresh;flavor=Orange;size=130g;fresh,
273,Pear (medium),"lunch,dinner",101,0.7,27,0.3,5.5,17,2,Lebanese,brand=Fresh;flavor=Pear;size=178g;fresh,
274,Fresh Grapes (cup),"lunch,dinner",62,0.6,16,0.3,0.8,15,2,Lebanese,brand=Fresh;flavor=Red grapes;size=92g;fresh,
275,Oreo (4 biscuits),"lunch,dinner",210,2.4,33.6,9.6,1.6,16,180,Lebanese,brand=Mondelez;flavor=Chocolate sandwich;size=44g;imported;vegan_recipe_may_vary,
276,Belvita Breakfast Biscuits (2 biscuits),"lunch,dinner",115,2,19,3.8,2,6,90,Lebanese,brand=Mondelez;flavor=Honey & Nuts;size=25g;imported;whole_grain,
277,TUC Crackers (portion),"lunch,dinner",120,2.5,16,5,0.8,2,300,Lebanese,brand=Mondelez;flavor=Salty crackers;size=25g;imported;savory,
278,Mini Zaatar Croissant (bakery),"lunch,dinner",190,4,20,10,2,2,300,Lebanese,brand=Bakery;flavor=Zaatar;size=50g;fresh_bakery;savory,
279,7DAYS Mini Bake Rolls (Garlic),"lunch,dinner",170,5,30,3,2,3,420,Lebanese,brand=7DAYS;flavor=Bake rolls garlic;size=40g;imported;savory,
280,Fitness Delice Dark Chocolate Bar,"lunch,dinner",99,1.4,17,2.5,1.8,6,70,Lebanese,brand=Nestlé;flavor=Dark Chocolate;size=23g;imported,
281,Weetabix On The Go Cereal Bar Chocolate,"lunch,dinner",117,3,18,3.2,2.7,7,60,Lebanese,brand=Weetabix;flavor=Chocolate;size=30g;imported;whole_grain,
