id,name,category,cuisine,serving_size,serving_unit,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg
240,Mediterranean Omelette Butter,wrap,Mediterranean,2,piece,818.0,33.1,56.1,31.9,1.8,21.2,1029,55
241,Moroccan Hummus Sumac,sandwich,Moroccan,491,ml,577.0,14.6,71.8,27.4,9.5,9.3,1134,143
242,Brazilian Mushroom Casserole,soup,Brazilian,1,piece,332.0,23.9,28.0,16.9,6.1,20.2,548,17
243,Vietnamese Sambousek Green Curry,wrap,Vietnamese,463,ml,592.0,11.4,52.0,18.7,1.2,1.9,535,137
244,Lebanese Sfiha Casserole,lunch,Lebanese,368,g,298.0,41.7,10.1,29.8,8.5,10.1,1084,85
245,Thai Sujuk Za'atar,lunch,Thai,487,ml,788.0,29.9,37.7,8.9,3.6,19.8,1276,148
246,Greek Fatteh Tahini,vegetarian,Greek,2,piece,271.0,8.6,34.3,10.7,2.5,15.6,647,69
247,Lebanese Chicken With Veggies,dessert,Lebanese,412,ml,281.0,3.3,46.6,6.6,11.4,18.7,1048,79
248,Lebanese Curry Tomato,stew,Lebanese,291,g,627.0,22.1,33.4,18.1,4.3,25.4,992,50
249,British Shish Taouk Bowl,vegetarian,British,340,g,357.0,25.1,34.3,25.7,12.6,22.3,612,159
250,Spanish Beef Vindaloo,grill,Spanish,354,ml,558.0,35.4,22.5,27.0,4.4,2.6,266,163
251,Lebanese Mushroom Yogurt 1,dinner,Lebanese,1,piece,323.0,32.8,40.6,32.0,8.8,18.1,1318,111
252,Korean Falafel Skewers,lunch,Korean,178,g,404.0,19.8,49.1,31.9,5.1,13.2,663,49
253,French Shish Taouk Ramen Style,dinner,French,351,g,326.0,46.7,10.6,28.6,3.9,2.5,1151,68
254,Lebanese Cauliflower Spicy,vegetarian,Lebanese,1,piece,457.0,15.5,42.5,9.1,8.1,26.7,1186,113
255,Lebanese Lentil Baked,vegetarian,Lebanese,121,g,400.0,16.2,44.4,14.6,9.4,27.9,611,67
256,Lebanese Cauliflower Teriyaki,salad,Lebanese,157,g,433.0,16.9,12.3,28.5,12.3,12.3,1044,12
257,Lebanese Kafta With Pita,seafood,Lebanese,341,g,309.0,25.2,1.9,8.3,1.9,1.9,958,103
258,Peruvian Rice Garlic,stew,Peruvian,223,g,646.0,40.3,39.8,15.3,4.6,20.2,571,75
259,Thai Tuna Grilled,snack,Thai,457,ml,284.0,23.7,28.1,28.6,1.2,2.0,132,73
260,Peruvian Lamb Red Curry,soup,Peruvian,363,ml,446.0,14.9,32.6,8.4,3.0,23.0,1123,46
261,Lebanese Sushi Bowl,pasta,Lebanese,1,piece,842.0,42.4,94.4,30.0,2.3,5.1,968,97
262,American Kibbeh Wrap,seafood,American,371,g,356.0,28.6,7.6,19.8,6.9,7.6,705,158
263,Mediterranean Halloumi Vindaloo,stew,Mediterranean,2,piece,678.0,26.5,35.1,12.7,8.0,11.0,1025,134
264,Spanish Curry Sumac,sandwich,Spanish,445,ml,483.0,32.3,97.6,5.9,10.2,12.6,418,78
265,American Pancake Baked,pasta,American,1,piece,650.0,28.7,67.0,18.1,2.7,4.4,1153,3
266,Peruvian Porridge Masala,drink,Peruvian,413,g,73.0,14.5,16.5,6.5,5.4,16.5,1045,146
267,Thai Noodles Butter,soup,Thai,251,ml,382.0,16.9,32.4,14.8,2.5,19.2,469,112
268,Korean Cauliflower Za'atar,dinner,Korean,239,ml,314.0,35.4,56.1,27.0,10.2,18.5,372,147
269,Brazilian Falafel Butter,snack,Brazilian,1,piece,525.0,35.0,82.2,28.4,8.0,15.8,634,6
270,Chinese Sayadieh Za'atar,seafood,Chinese,376,ml,487.0,37.3,20.0,6.7,2.0,13.7,421,131
271,Brazilian Chicken Bowl,soup,Brazilian,2,piece,278.0,12.5,13.9,14.3,5.0,3.0,674,89
272,Brazilian Waffle Stir-Fry,pasta,Brazilian,1,piece,466.0,28.0,83.4,11.8,7.3,15.3,1565,97
273,Spanish Fatteh Tomato,snack,Spanish,434,ml,662.0,12.7,49.5,27.9,9.5,18.0,1041,8
274,Lebanese Taco Shoyu,drink,Lebanese,141,g,92.0,0.6,11.5,4.7,11.5,11.5,855,116
275,Mexican Chicken Tahini,bowl,Mexican,2,piece,601.0,16.3,97.8,21.5,8.8,19.0,1082,59
276,Lebanese Sayadieh Sumac,dessert,Lebanese,400,ml,409.0,3.7,26.4,26.5,11.3,16.8,1140,90
277,Greek Cauliflower Tahini,dessert,Greek,478,ml,532.0,4.5,56.2,8.9,1.5,9.6,1557,140
278,Brazilian Sfiha Miso,dessert,Brazilian,368,ml,534.0,7.4,79.9,17.1,5.3,16.1,144,16
279,Chinese Shawarma Harissa,sandwich,Chinese,354,ml,353.0,34.8,57.1,8.7,8.2,24.5,223,148
280,Greek Tuna Tahini,dessert,Greek,421,ml,293.0,3.6,39.0,11.0,9.3,23.2,564,115
281,Italian Waffle Bowl,seafood,Italian,2,piece,576.0,30.8,10.0,24.2,10.0,10.0,525,30
282,Ethiopian Shish Taouk Pho Style,sandwich,Ethiopian,137,g,738.0,25.3,80.9,21.4,5.2,21.4,375,162
283,Korean Chicken Yogurt,breakfast,Korean,374,ml,363.0,24.5,25.6,24.2,3.2,14.1,965,58
284,Indian Manousheh Sumac,pasta,Indian,335,ml,570.0,37.0,82.7,27.8,8.3,22.7,832,128
285,American Tuna Harissa,breakfast,American,240,ml,595.0,23.0,38.7,14.8,5.6,6.9,1200,7
286,Lebanese Taco Roasted,dessert,Lebanese,423,ml,337.0,5.0,62.5,29.9,4.6,12.6,617,111
287,Peruvian Tuna Casserole,vegetarian,Peruvian,297,ml,364.0,21.1,26.4,7.6,7.8,14.3,1480,142
288,Turkish Tofu Grilled,rice,Turkish,233,g,515.0,31.1,94.2,24.7,5.3,28.0,1257,157
289,Ethiopian Shrimp Lemon,wrap,Ethiopian,161,g,453.0,17.5,91.6,27.6,2.9,11.8,250,149
290,Lebanese Curry Grilled,rice,Lebanese,206,g,448.0,31.7,108.9,16.0,3.6,9.1,1051,22
291,Lebanese Shawarma Butter,pasta,Lebanese,492,ml,609.0,18.7,73.1,35.0,8.8,5.5,970,103
292,Peruvian Fattoush With Pita,vegetarian,Peruvian,361,ml,457.0,13.4,22.1,12.4,3.9,0.0,1206,131
293,Vietnamese Shish Taouk Butter,seafood,Vietnamese,202,ml,374.0,25.5,6.5,4.8,4.5,6.5,833,58
294,Spanish Quinoa Grilled,sandwich,Spanish,387,ml,546.0,31.9,77.8,24.5,3.4,18.2,800,40
295,Italian Eggplant Tandoori,grill,Italian,1,piece,569.0,31.2,20.9,11.2,10.8,0.6,1352,41
296,Korean Falafel Herb,sandwich,Korean,282,g,549.0,21.1,104.6,38.1,6.4,25.9,627,147
297,Mediterranean Tofu Green Curry,rice,Mediterranean,254,ml,715.0,16.6,63.3,6.0,11.1,20.4,618,148
298,Mediterranean Curry Yogurt,snack,Mediterranean,316,ml,655.0,36.6,21.8,25.8,8.7,15.8,276,73
299,Greek Eggplant Pesto,soup,Greek,1,piece,130.0,21.9,27.7,9.3,3.4,27.7,956,114
300,American Potato Garlic,dinner,American,227,ml,535.0,44.2,55.4,23.0,1.1,17.9,1006,117
301,Chinese Stuffed Grape Leaves With Pita,vegetarian,Chinese,419,ml,158.0,12.5,35.3,12.5,1.0,21.2,889,86
302,Peruvian Shawarma Tandoori,pasta,Peruvian,460,ml,654.0,37.8,54.1,22.6,6.0,25.9,915,76
303,Ethiopian Beef With Hummus,salad,Ethiopian,1,piece,423.0,17.5,27.8,16.0,6.3,14.4,849,94
304,Lebanese Mujadara Skewers,vegan,Lebanese,395,g,203.0,22.6,17.2,19.7,1.6,17.2,1280,105
305,Peruvian Cauliflower Skewers,pasta,Peruvian,426,g,436.0,24.3,100.6,8.2,9.5,1.8,875,147
306,Greek Waffle Stir-Fry,lunch,Greek,1,piece,333.0,27.9,57.3,34.1,1.6,21.9,858,30
307,Chinese Soup Red Curry,salad,Chinese,423,ml,457.0,16.5,33.6,26.1,5.4,3.1,1214,88
308,Mexican Kibbeh On Quinoa,bowl,Mexican,2,piece,522.0,22.3,98.5,19.5,9.3,19.2,944,36
309,Japanese Noodles Sumac,bowl,Japanese,359,g,717.0,25.2,68.9,31.5,3.6,8.1,385,123
310,Japanese Soup Pho Style,vegan,Japanese,1,piece,162.0,11.9,14.5,15.7,7.1,6.8,1214,14
311,Indian Taco Lemon,stew,Indian,447,ml,556.0,33.2,50.0,21.9,3.6,20.0,833,11
312,Turkish Pasta Baked,wrap,Turkish,366,g,707.0,36.5,81.4,23.5,1.1,15.2,541,87
313,Lebanese Noodles Pho Style,rice,Lebanese,1,piece,533.0,32.9,49.3,15.4,5.9,21.9,858,41
314,Moroccan Shish Taouk Spicy,drink,Moroccan,367,ml,156.0,2.8,40.1,7.1,8.6,14.3,211,119
315,Lebanese Rice With Hummus,wrap,Lebanese,257,ml,499.0,29.3,92.8,10.8,4.5,24.4,1213,98
316,Chinese Lentil Grilled,pasta,Chinese,364,g,457.0,28.5,50.0,30.0,3.8,10.2,1222,48
317,Turkish Mushroom Yogurt,vegetarian,Turkish,2,piece,230.0,13.3,32.3,8.4,7.8,0.5,840,96
318,Lebanese Sfiha Stir-Fry,soup,Lebanese,273,g,465.0,7.8,31.4,13.9,11.8,11.6,289,50
319,Spanish Sushi Roasted,rice,Spanish,345,ml,595.0,12.1,51.8,32.7,6.7,20.5,168,141
320,Vietnamese Beef With Pita,salad,Vietnamese,1,piece,425.0,10.3,47.0,21.3,10.5,20.0,1416,151
321,Lebanese Cauliflower Herb,dessert,Lebanese,469,ml,492.0,2.5,46.4,31.5,7.0,17.5,403,35
322,Thai Noodles Green Curry,stew,Thai,188,g,398.0,38.8,53.9,34.4,4.5,23.3,926,23
323,American Shawarma Skewers,salad,American,2,piece,421.0,8.3,37.8,9.0,0.8,9.2,1405,147
324,Lebanese Halloumi Spicy,soup,Lebanese,128,g,470.0,18.7,28.9,12.9,7.8,7.3,164,13
325,American Grilled Veggies With Hummus,seafood,American,401,g,442.0,24.6,6.1,5.9,6.1,0.5,516,69
326,Indian Tuna Miso,dinner,Indian,1,piece,456.0,33.4,19.0,19.4,1.0,19.0,659,51
327,Peruvian Stuffed Grape Leaves Wrap,vegan,Peruvian,1,piece,350.0,23.8,42.9,13.0,7.0,31.1,183,65
328,Mediterranean Mortadella On Rice,bowl,Mediterranean,338,ml,498.0,26.2,40.4,19.4,2.0,23.0,685,106
329,Peruvian Chickpea Sumac,vegetarian,Peruvian,297,ml,167.0,14.7,43.1,33.2,11.1,2.8,591,108
330,Mexican Falafel Baked,snack,Mexican,1,piece,436.0,27.1,42.9,30.3,6.7,30.0,677,64
331,Turkish Shrimp Herb,drink,Turkish,373,g,50.0,9.9,21.0,10.4,3.4,11.0,1224,138
332,Lebanese Burrito Green Curry,seafood,Lebanese,320,g,404.0,24.3,18.9,13.5,5.3,17.2,123,134
333,Brazilian Fish Lemon,soup,Brazilian,138,g,258.0,9.6,9.9,12.8,8.2,9.9,264,19
334,Mexican Tuna Tandoori,vegetarian,Mexican,2,piece,501.0,6.6,19.6,15.4,4.7,1.9,680,84
335,Lebanese Kafta Vindaloo,dessert,Lebanese,357,ml,595.0,7.5,34.9,29.2,8.4,32.2,855,119
336,Thai Quinoa Vindaloo,stew,Thai,2,piece,478.0,23.1,37.4,23.0,8.1,15.4,383,101
337,Lebanese Burger Baked,breakfast,Lebanese,2,piece,574.0,33.4,33.3,16.0,6.6,18.3,129,30
338,Italian Soup On Quinoa,vegan,Italian,157,g,282.0,12.9,29.8,33.7,10.0,5.8,1265,146
339,Vietnamese Taco Herb,drink,Vietnamese,1,piece,273.0,7.2,56.4,10.1,11.6,7.5,868,93
340,Brazilian Salad With Veggies,soup,Brazilian,219,ml,156.0,20.3,17.4,8.0,6.1,4.6,882,27
341,Thai Grilled Veggies Wrap,stew,Thai,324,ml,553.0,27.0,31.5,35.5,3.2,9.6,290,132
342,Italian Taco Masala,breakfast,Italian,182,g,685.0,28.8,42.9,33.3,2.2,27.1,1298,155
343,American Burger Za'atar,lunch,American,2,piece,371.0,29.4,7.8,32.5,7.8,7.8,1418,17
344,Lebanese Porridge Yogurt,grill,Lebanese,260,ml,434.0,35.5,48.1,26.4,3.7,4.8,281,155
345,French Soup On Quinoa,pasta,French,242,ml,663.0,18.4,56.8,8.0,7.5,10.1,727,20
346,Lebanese Falafel Shoyu,lunch,Lebanese,253,ml,588.0,38.2,52.7,27.8,7.8,9.7,1290,117
347,Lebanese Salad Spicy,bowl,Lebanese,388,g,819.0,25.8,77.1,27.7,9.3,15.0,471,38
348,British Mortadella Lemon,pasta,British,2,piece,477.0,34.3,60.0,19.3,1.2,3.2,746,129
349,Greek Sushi Roasted,drink,Greek,445,ml,247.0,9.8,24.5,9.6,6.7,21.2,697,100
350,Vietnamese Mushroom Ramen Style,stew,Vietnamese,435,ml,495.0,43.1,34.9,14.3,8.1,2.3,1400,91
351,Peruvian Soup Roasted,stew,Peruvian,252,ml,670.0,18.6,10.1,27.5,8.6,10.1,736,96
352,American Shish Taouk Herb,breakfast,American,1,piece,447.0,17.8,42.9,11.4,8.0,9.1,871,140
353,Moroccan Falafel Ramen Style,pasta,Moroccan,321,g,635.0,38.8,109.2,8.6,11.9,31.8,132,98
354,French Potato Shoyu,breakfast,French,2,piece,548.0,29.1,36.7,21.6,3.1,5.6,333,94
355,Greek Tabbouleh Spicy,drink,Greek,123,g,220.0,14.2,15.7,8.5,12.6,11.2,331,138
356,British Burger Masala,salad,British,365,ml,324.0,11.9,16.2,22.7,7.0,16.2,438,78
357,Brazilian Lamb Pho Style,lunch,Brazilian,411,ml,348.0,33.2,42.7,11.8,8.8,29.3,1467,123
358,Italian Potato Butter,dinner,Italian,2,piece,728.0,20.4,39.6,29.4,4.1,1.6,590,123
359,Ethiopian Pasta With Pita,stew,Ethiopian,286,ml,288.0,43.3,42.1,25.2,6.4,1.7,703,24
360,Thai Tabbouleh Korma,breakfast,Thai,161,g,258.0,31.6,27.2,28.7,4.0,8.3,1236,104
361,American Tuna Teriyaki,pasta,American,1,piece,453.0,27.1,44.5,36.3,12.2,18.8,1317,140
362,Moroccan Mujadara Miso,sandwich,Moroccan,2,piece,427.0,30.8,61.6,23.6,8.8,3.3,337,61
363,Brazilian Taco Teriyaki,rice,Brazilian,295,g,549.0,18.8,96.4,17.2,4.2,16.0,1448,15
364,Greek Waffle Stir-Fry 1,wrap,Greek,281,ml,714.0,17.7,81.2,19.4,8.3,7.3,1051,123
365,Mexican Sambousek Bowl,breakfast,Mexican,123,g,271.0,11.8,40.0,13.8,4.1,6.3,166,16
366,Indian Grilled Veggies Baked,snack,Indian,402,g,306.0,29.5,81.4,21.8,11.5,26.7,1072,40
367,Italian Sayadieh Shoyu,dessert,Italian,2,piece,638.0,5.0,38.8,7.9,10.3,12.5,631,10
368,Lebanese Burrito Tahini,dinner,Lebanese,1,piece,536.0,19.5,31.5,17.8,6.9,2.9,661,37
369,Italian Sayadieh Miso,dessert,Italian,415,g,275.0,7.1,85.9,25.0,3.6,21.1,1372,92
370,Vietnamese Mezze Skewers,rice,Vietnamese,1,piece,476.0,27.9,86.2,8.7,6.1,27.1,528,44
371,Italian Falafel Tandoori,stew,Italian,394,ml,348.0,17.7,24.0,12.1,7.8,24.0,908,52
372,Korean Lamb Tahini,drink,Korean,357,g,209.0,1.0,36.2,7.1,4.4,29.0,1397,79
373,Mediterranean Mezze Wrap,stew,Mediterranean,235,ml,602.0,35.7,27.4,23.9,9.6,4.1,834,134
374,American Taco Wrap,breakfast,American,351,g,282.0,13.5,13.8,16.8,10.2,13.8,378,100
375,Lebanese Tofu Tahini,sandwich,Lebanese,301,ml,685.0,30.3,64.2,9.0,7.9,15.4,531,145
376,Mediterranean Tofu Baked,stew,Mediterranean,242,ml,498.0,41.2,36.2,20.3,11.4,1.2,263,138
377,Lebanese Falafel Bowl,seafood,Lebanese,179,g,289.0,37.3,27.4,13.7,10.1,23.8,1105,33
378,Ethiopian Tuna Wrap,sandwich,Ethiopian,1,piece,578.0,38.7,84.4,28.9,4.5,0.1,447,18
379,French Sushi Tomato,vegetarian,French,431,ml,428.0,10.9,17.4,29.9,8.7,17.4,801,29
380,Lebanese Tabbouleh Yogurt,pasta,Lebanese,275,ml,629.0,36.8,71.9,9.1,1.1,16.2,339,4
381,Italian Omelette Ramen Style,bowl,Italian,325,ml,740.0,39.8,60.5,9.9,3.4,7.7,743,34
382,Italian Fish Shoyu,seafood,Italian,191,g,420.0,22.2,10.2,12.8,2.5,9.8,446,48
383,Lebanese Eggplant Tandoori,drink,Lebanese,325,ml,238.0,4.5,18.8,1.9,9.7,18.8,1384,93
384,Lebanese Burrito Yogurt,vegan,Lebanese,1,piece,365.0,5.8,27.2,34.0,3.6,14.2,465,161
385,Peruvian Lamb Wrap,wrap,Peruvian,420,ml,606.0,23.9,71.0,31.0,8.9,3.1,844,13
386,Moroccan Kibbeh Casserole,drink,Moroccan,333,g,57.0,4.8,34.2,8.9,10.9,34.2,162,76
387,Spanish Porridge Tandoori,pasta,Spanish,2,piece,743.0,12.2,103.4,15.8,0.9,12.9,496,152
388,Indian Waffle With Veggies,dinner,Indian,2,piece,547.0,48.5,25.8,9.7,5.0,14.4,181,60
389,Italian Chickpea With Veggies,soup,Italian,298,g,361.0,21.6,34.6,17.3,9.3,24.4,1263,55
390,Ethiopian Fish Skewers,dessert,Ethiopian,303,ml,470.0,6.6,35.0,27.9,8.8,16.9,554,105
391,Italian Falafel Grilled,bowl,Italian,469,ml,492.0,39.7,48.9,14.4,8.7,15.3,1361,85
392,Thai Chickpea Butter,vegetarian,Thai,326,ml,452.0,5.5,16.9,5.8,9.9,16.9,850,54
393,Turkish Soup Miso,vegan,Turkish,291,ml,197.0,20.2,15.5,12.4,5.9,15.5,1147,7
394,Korean Grilled Veggies Green Curry,salad,Korean,254,ml,218.0,18.9,41.2,28.5,2.3,3.5,1473,90
395,Greek Grilled Veggies Wrap,vegetarian,Greek,1,piece,267.0,11.6,26.8,9.2,3.7,25.7,630,74
396,Korean Chicken Green Curry,drink,Korean,1,piece,238.0,4.7,34.7,12.2,12.7,30.2,349,97
397,Korean Mezze Butter,snack,Korean,166,g,506.0,19.6,42.8,30.7,5.7,2.8,199,104
398,Chinese Turkey Plate,dessert,Chinese,297,g,457.0,8.0,33.2,22.0,3.0,10.3,1033,163
399,Greek Manousheh Za'atar,wrap,Greek,203,ml,499.0,19.0,70.4,22.0,2.9,26.3,1130,65
400,Mexican Mezze Harissa,wrap,Mexican,395,g,604.0,14.0,59.7,33.8,6.4,9.8,1372,92
401,Lebanese Pasta Lemon,dessert,Lebanese,1,piece,492.0,9.5,38.6,30.5,3.9,15.0,1276,49
402,Vietnamese Cauliflower Plate,bowl,Vietnamese,170,g,499.0,30.1,87.0,9.9,8.4,8.9,378,149
403,Lebanese Burrito Skewers,dessert,Lebanese,2,piece,498.0,6.6,82.7,24.2,6.1,21.1,289,83
404,Lebanese Lentil On Quinoa,lunch,Lebanese,463,ml,392.0,25.3,21.7,21.0,11.9,11.6,565,92
405,Ethiopian Shish Taouk Roasted,salad,Ethiopian,2,piece,373.0,22.8,39.6,26.0,4.0,20.9,1087,15
406,Lebanese Tabbouleh With Hummus,vegan,Lebanese,323,ml,565.0,9.0,19.2,21.9,11.0,19.2,971,120
407,Brazilian Pasta Tandoori,snack,Brazilian,158,g,338.0,11.5,41.4,28.2,2.3,14.5,1622,91
408,Mexican Fatteh Baked,breakfast,Mexican,162,g,494.0,24.0,25.7,11.2,10.6,11.5,1060,16
409,Vietnamese Turkey Roasted,lunch,Vietnamese,381,g,576.0,21.6,12.5,16.1,1.4,12.5,1258,135
410,Indian Tuna With Pita,soup,Indian,149,g,405.0,24.2,38.9,8.3,2.4,15.2,1141,39
411,French Curry Yogurt,breakfast,French,1,piece,332.0,31.5,41.1,38.0,1.6,6.2,794,110
412,Peruvian Tuna With Pita,snack,Peruvian,327,ml,461.0,21.3,67.9,13.8,5.6,14.9,770,55
413,Lebanese Eggplant Za'atar,seafood,Lebanese,337,ml,548.0,40.1,27.2,10.3,5.6,27.2,766,147
414,Vietnamese Tuna Bowl,pasta,Vietnamese,1,piece,431.0,25.1,93.4,9.2,2.3,13.0,1014,17
415,Lebanese Kafta Tahini,soup,Lebanese,2,piece,269.0,11.1,22.9,11.1,9.9,22.9,995,128
416,Spanish Burrito Masala,rice,Spanish,244,ml,554.0,13.7,74.2,12.7,11.3,0.9,1137,132
417,Lebanese Pancake On Quinoa,rice,Lebanese,219,g,631.0,32.8,86.4,21.1,6.2,14.0,525,79
418,Brazilian Stew Plate,vegetarian,Brazilian,446,g,530.0,7.8,27.2,32.3,5.9,1.1,384,111
419,Mexican Fattoush Za'atar,drink,Mexican,429,ml,175.0,7.9,31.4,6.2,5.6,26.2,319,8
420,Peruvian Sayadieh Casserole,pasta,Peruvian,218,ml,607.0,13.6,64.7,29.1,7.1,22.6,968,60
421,Greek Mujadara Pesto,lunch,Greek,197,g,454.0,21.4,44.2,32.5,1.9,5.3,890,6
422,Moroccan Hummus Plate,wrap,Moroccan,1,piece,360.0,19.5,79.9,15.3,1.6,14.6,1072,32
423,Lebanese Manousheh Shoyu,grill,Lebanese,283,g,644.0,40.8,48.4,21.2,3.6,1.3,1412,60
424,Italian Omelette With Veggies,snack,Italian,220,ml,615.0,24.5,27.0,29.1,8.1,9.1,1239,69
425,Indian Waffle Masala,dessert,Indian,401,ml,515.0,9.8,71.6,22.3,2.9,16.3,1122,143
426,Japanese Waffle Shoyu,vegetarian,Japanese,2,piece,186.0,9.7,28.1,13.1,9.7,24.6,1377,70
427,Italian Hummus Casserole,wrap,Italian,1,piece,724.0,18.8,62.3,11.4,0.9,26.3,602,85
428,Moroccan Turkey Garlic,lunch,Moroccan,240,ml,446.0,46.9,44.2,13.7,11.0,31.0,847,3
429,Italian Tofu Harissa,grill,Italian,401,ml,722.0,31.7,52.9,31.8,3.3,17.7,836,19
430,Peruvian Quinoa Korma,vegan,Peruvian,198,g,185.0,19.6,20.0,20.9,4.6,20.0,413,62
431,Mexican Noodles Harissa,dessert,Mexican,458,ml,241.0,6.6,74.5,8.9,7.2,15.1,486,46
432,American Fattoush Plate,pasta,American,2,piece,599.0,33.9,83.1,32.0,8.1,22.8,433,85
433,Greek Stew Pesto,snack,Greek,316,ml,711.0,23.5,95.1,13.7,1.7,26.6,479,36
434,Korean Lamb Stir-Fry,wrap,Korean,391,g,804.0,25.1,71.6,31.6,9.1,27.3,1301,137
435,Lebanese Pancake Red Curry,wrap,Lebanese,1,piece,637.0,31.6,81.6,10.9,5.4,18.5,119,30
436,Lebanese Potato Vindaloo,salad,Lebanese,2,piece,459.0,19.3,37.7,24.3,9.2,9.1,742,111
437,Peruvian Turkey Grilled,grill,Peruvian,310,ml,451.0,28.4,48.1,22.1,0.7,0.7,842,92
438,Italian Quinoa Garlic,soup,Italian,252,g,284.0,11.9,11.8,9.2,11.8,3.8,1205,75
439,Korean Eggplant Tomato,seafood,Korean,1,piece,619.0,42.9,8.5,21.2,5.2,8.5,431,36
440,Indian Lentil Plate,wrap,Indian,492,ml,499.0,25.8,62.8,25.1,8.7,2.8,839,152
441,Spanish Grilled Veggies Shoyu,rice,Spanish,2,piece,406.0,28.3,46.3,35.0,6.3,11.3,1014,113
442,Lebanese Waffle Za'atar,vegan,Lebanese,493,ml,416.0,7.6,41.0,6.2,2.5,5.1,795,53
443,Italian Rice Herb,vegan,Italian,235,ml,171.0,7.7,41.4,30.7,9.3,28.4,521,143
444,Japanese Shrimp On Quinoa,wrap,Japanese,2,piece,629.0,13.2,90.5,22.7,8.8,1.4,294,33
445,Lebanese Rice Baked,bowl,Lebanese,212,ml,548.0,33.6,79.4,21.8,11.0,27.9,312,16
446,Mexican Hummus Pho Style,vegan,Mexican,2,piece,413.0,26.3,30.6,23.8,5.7,2.5,1271,116
447,Lebanese Mortadella With Hummus,snack,Lebanese,2,piece,307.0,20.3,12.7,19.4,8.9,12.7,1018,44
448,Turkish Shawarma Pho Style,bowl,Turkish,189,g,348.0,27.4,58.6,7.1,1.2,26.7,604,59
449,Lebanese Shrimp Za'atar,soup,Lebanese,285,ml,341.0,17.1,11.0,9.6,5.1,11.0,507,101
450,French Turkey Korma,vegan,French,465,ml,309.0,14.8,22.5,25.1,8.9,16.7,652,61
451,Turkish Stuffed Grape Leaves Herb,sandwich,Turkish,358,ml,616.0,12.0,69.9,8.0,9.3,8.7,1419,105
452,Chinese Salad Roll,grill,Chinese,1,piece,294.0,19.7,26.0,9.7,7.4,15.6,430,37
453,Lebanese Tuna Lemon,bowl,Lebanese,213,ml,582.0,33.7,67.2,29.3,10.0,14.6,1338,59
454,Mexican Fatteh Teriyaki,dinner,Mexican,1,piece,551.0,18.6,11.6,12.9,6.1,11.6,1345,157
455,Vietnamese Sfiha Sumac,pasta,Vietnamese,226,ml,390.0,14.9,92.1,24.8,2.5,0.8,743,22
456,Brazilian Sayadieh Tandoori,grill,Brazilian,276,g,291.0,21.9,12.6,25.4,10.9,12.6,1228,88
457,Peruvian Fish With Veggies,rice,Peruvian,153,g,717.0,22.5,67.7,20.0,7.0,21.5,1468,5
458,Ethiopian Cauliflower Roll,seafood,Ethiopian,1,piece,447.0,33.5,8.0,17.8,8.0,3.5,969,102
459,Lebanese Mezze Tahini,grill,Lebanese,303,ml,388.0,24.0,52.7,16.4,7.1,24.2,984,20
460,Spanish Taco Garlic,pasta,Spanish,1,piece,660.0,12.6,73.7,11.0,2.3,14.7,1213,150
461,Chinese Beef With Pita,lunch,Chinese,307,ml,351.0,42.0,51.2,8.4,1.2,12.2,918,18
462,Japanese Sayadieh Wrap,pasta,Japanese,1,piece,447.0,32.8,81.3,27.2,9.2,29.7,773,78
463,French Soup Wrap,snack,French,1,piece,491.0,33.2,76.2,8.9,3.6,12.2,752,107
464,Greek Eggplant Tahini,drink,Greek,490,ml,234.0,12.3,7.2,5.6,3.7,7.2,478,112
465,Lebanese Pasta Tomato,vegan,Lebanese,384,g,284.0,11.9,23.5,27.6,8.7,9.8,145,21
466,Ethiopian Kafta On Quinoa,dinner,Ethiopian,494,ml,390.0,20.8,48.8,26.9,8.2,28.2,208,105
467,Ethiopian Mortadella Red Curry,wrap,Ethiopian,416,ml,529.0,21.9,105.5,34.6,8.1,4.7,729,111
468,British Sfiha With Pita,bowl,British,1,piece,420.0,18.2,40.7,15.0,8.5,21.2,281,151
469,Italian Curry With Veggies,grill,Italian,1,piece,285.0,39.7,34.3,13.2,8.6,19.9,1351,16
470,Greek Kibbeh Baked,vegan,Greek,369,g,549.0,14.6,31.3,5.4,4.6,7.4,1198,97
471,Brazilian Kibbeh On Rice,sandwich,Brazilian,400,ml,757.0,28.7,52.6,17.9,9.5,3.3,879,32
472,Lebanese Pasta Grilled,wrap,Lebanese,140,g,714.0,23.1,67.9,15.9,6.2,16.8,796,60
473,Vietnamese Sfiha Korma,bowl,Vietnamese,2,piece,679.0,13.5,46.1,25.1,1.9,19.9,1235,17
474,Lebanese Soup With Hummus,salad,Lebanese,318,g,313.0,7.4,29.9,6.2,2.3,11.1,1483,48
475,Lebanese Fish On Rice,wrap,Lebanese,264,ml,776.0,26.6,52.5,17.4,11.4,13.5,983,97
476,Spanish Shish Taouk Spicy,drink,Spanish,2,piece,255.0,2.4,45.8,9.4,1.6,32.4,1059,66
477,Turkish Fatteh Stir-Fry,bowl,Turkish,1,piece,463.0,11.7,91.8,31.0,4.4,21.1,1100,14
478,Brazilian Salad Vindaloo,lunch,Brazilian,367,g,562.0,19.9,44.0,23.9,12.4,8.8,431,141
479,Peruvian Pancake On Quinoa,vegetarian,Peruvian,376,ml,380.0,25.9,24.0,11.4,0.9,17.4,709,15
